Month;Los_Angeles;Tokyo;Shanghai;Londres;Singapur;Moscu;Dubai;Sydney
1;47;154;174;49;154;30;26;70
2;42;1;160;28;189;56;1;86
3;55;229;156;38;200;103;5;82
4;44;49;100;44;220;150;5;74
5;64;124;94;52;238;221;10;57
6;52;1;83;85;245;285;16;53
7;39;148;73;65;242;451;13;31
8;53;287;53;43;261;450;3;35
9;51;116;55;43;263;527;56;32
10;57;273;52;57;262;646;30;17
11;61;183;38;51;276;741;38;39
12;52;376;50;59;259;832;49;56
13;59;405;23;32;280;929;74;54
14;64;569;35;71;273;1039;88;92
15;57;626;25;59;275;1167;121;76
16;54;858;20;51;304;1299;115;73
17;64;815;27;53;299;1414;114;62
18;63;1073;16;75;292;1521;180;34
19;55;1176;23;52;296;1673;218;34
20;64;1709;12;49;302;1795;248;32
21;60;1970;3;35;303;1932;270;24
22;57;2562;10;48;310;2089;261;23
23;64;2912;3;40;310;2233;289;38
24;65;3722;24;48;312;2368;282;51
25;69;4416;1;38;313;2474;302;68
26;65;5476;11;44;316;2650;298;91
27;65;6606;7;43;311;2793;309;88
28;72;8082;7;42;335;2950;318;80
29;69;9885;1;29;314;3136;353;68
30;68;12088;1;55;323;3296;321;48
31;61;14890;1;36;311;3484;332;40
32;68;18176;9;21;329;3614;320;26
33;69;22144;1;38;326;3791;377;29
34;73;27100;15;29;326;3959;354;30
35;76;32900;1;31;333;4112;353;42
36;71;40197;5;15;327;4339;343;56
